Time (microseconds),scope4
510916.67,-128.775436401367
511000.00,-127.486717224121
511083.33,-130.064163208008
511166.67,-134.574676513672
511250.00,-135.219039916992
511333.33,-133.930328369141
511416.67,-135.863403320313
511500.00,-137.796493530273
511583.33,-135.863403320313
511666.67,-136.507766723633
511750.00,-137.796493530273
511833.33,-140.373931884766
511916.67,-141.018295288086
512000.00,-140.373931884766
512083.33,-142.951370239258
512166.67,-146.17317199707
512250.00,-141.662643432617
512333.33,-146.17317199707
512416.67,-146.817535400391
512500.00,-150.039337158203
512583.33,-148.750610351563
512666.67,-152.616775512695
512750.00,-149.394973754883
512833.33,-150.039337158203
512916.67,-151.328063964844
513000.00,-155.194213867188
513083.33,-154.549865722656
513166.67,-155.194213867188
513250.00,-156.482940673828
513333.33,-157.771667480469
513416.67,-159.704742431641
513500.00,-158.416030883789
513583.33,-160.349105834961
513666.67,-162.282180786133
513750.00,-161.637832641602
513833.33,-163.570907592773
513916.67,-164.859634399414
514000.00,-164.859634399414
514083.33,-166.792709350586
514166.67,-166.792709350586
514250.00,-169.370147705078
514333.33,-170.658874511719
514416.67,-171.303237915039
514500.00,-170.014511108398
514583.33,-170.014511108398
514666.67,-171.947601318359
514750.00,-172.591949462891
514833.33,-177.102478027344
514916.67,-175.169403076172
515000.00,-177.102478027344
515083.33,-179.035568237305
515166.67,-179.035568237305
515250.00,-180.324279785156
515333.33,-179.679916381836
515416.67,-183.546081542969
515500.00,-185.47917175293
515583.33,-182.901718139648
515666.67,-186.767883300781
515750.00,-188.700973510742
515833.33,-185.47917175293
515916.67,-188.700973510742
516000.00,-187.412246704102
516083.33,-190.634048461914
516166.67,-191.278411865234
516250.00,-195.144577026367
516333.33,-192.567138671875
516416.67,-190.634048461914
516500.00,-195.788940429688
516583.33,-194.500213623047
516666.67,-197.722015380859
516750.00,-197.077651977539
516833.33,-199.0107421875
516916.67,-200.299453735352
517000.00,-198.36637878418
517083.33,-203.521255493164
517166.67,-201.588180541992
517250.00,-200.299453735352
517333.33,-202.232543945313
517416.67,-203.521255493164
517500.00,-205.454345703125
517583.33,-209.320510864258
517666.67,-205.454345703125
517750.00,-209.320510864258
517833.33,-207.387420654297
517916.67,-210.609222412109
518000.00,-211.89794921875
518083.33,-211.89794921875
518166.67,-213.186676025391
518250.00,-212.54231262207
518333.33,-215.764114379883
518416.67,-215.764114379883
518500.00,-217.697189331055
518583.33,-217.052825927734
518666.67,-219.630279541016
518750.00,-221.563354492188
518833.33,-220.274642944336
518916.67,-224.14079284668
519000.00,-222.207717895508
519083.33,-221.563354492188
519166.67,-223.496444702148
519250.00,-224.78515625
519333.33,-228.651321411133
519416.67,-229.940048217773
519500.00,-226.073883056641
519583.33,-229.940048217773
519666.67,-228.651321411133
519750.00,-231.228759765625
519833.33,-232.517486572266
519916.67,-231.873123168945
520000.00,-235.094924926758
520083.33,-233.161849975586
520166.67,-233.806213378906
520250.00,-234.450561523438
520333.33,-236.383651733398
520416.67,-235.739288330078
520500.00,-238.31672668457
520583.33,-242.182891845703
520666.67,-240.894180297852
520750.00,-242.182891845703
520833.33,-242.827255249023
520916.67,-240.894180297852
521000.00,-243.471618652344
521083.33,-244.760330200195
521166.67,-246.049057006836
521250.00,-250.559585571289
521333.33,-243.471618652344
521416.67,-247.982131958008
521500.00,-247.982131958008
521583.33,-249.270858764648
521666.67,-253.137023925781
521750.00,-251.848297119141
521833.33,-251.848297119141
521916.67,-255.070098876953
522000.00,-257.003173828125
522083.33,-256.358825683594
522166.67,-255.714462280273
522250.00,-255.714462280273
522333.33,-258.936279296875
522416.67,-260.869354248047
522500.00,-260.224975585938
522583.33,-261.513702392578
522666.67,-262.158081054688
522750.00,-260.224975585938
522833.33,-262.158081054688
522916.67,-262.802429199219
523000.00,-266.668609619141
523083.33,-264.735504150391
523166.67,-262.802429199219
523250.00,-266.668609619141
523333.33,-268.601684570313
523416.67,-267.957305908203
523500.00,-268.601684570313
523583.33,-269.246032714844
523666.67,-271.179107666016
523750.00,-271.823486328125
523833.33,-276.334014892578
523916.67,-271.823486328125
524000.00,-273.112213134766
524083.33,-272.467834472656
524166.67,-274.400909423828
524250.00,-276.334014892578
524333.33,-282.133239746094
524416.67,-278.911437988281
524500.00,-277.622711181641
524583.33,-275.689636230469
524666.67,-278.26708984375
524750.00,-278.26708984375
524833.33,-282.133239746094
524916.67,-280.844512939453
525000.00,-282.133239746094
525083.33,-286.643768310547
525166.67,-282.777618408203
525250.00,-284.710693359375
525333.33,-284.710693359375
525416.67,-285.999420166016
525500.00,-286.643768310547
525583.33,-288.576843261719
525666.67,-289.221221923828
525750.00,-288.576843261719
525833.33,-288.576843261719
525916.67,-287.932495117188
526000.00,-290.509948730469
526083.33,-291.154296875
526166.67,-292.443023681641
526250.00,-292.443023681641
526333.33,-293.087371826172
526416.67,-291.154296875
526500.00,-292.443023681641
526583.33,-295.020446777344
526666.67,-295.020446777344
526750.00,-296.309173583984
526833.33,-295.664825439453
526916.67,-296.309173583984
527000.00,-295.664825439453
527083.33,-296.953552246094
527166.67,-298.886627197266
527250.00,-298.242248535156
527333.33,-296.953552246094
527416.67,-301.464050292969
527500.00,-301.464050292969
527583.33,-301.464050292969
527666.67,-301.464050292969
527750.00,-300.175354003906
527833.33,-302.752777099609
527916.67,-304.04150390625
528000.00,-303.397155761719
528083.33,-303.397155761719
528166.67,-308.552032470703
528250.00,-304.04150390625
528333.33,-305.330230712891
528416.67,-306.618957519531
528500.00,-305.974578857422
528583.33,-309.196380615234
528666.67,-309.840759277344
528750.00,-307.907684326172
528833.33,-311.129486083984
528916.67,-307.907684326172
529000.00,-309.196380615234
529083.33,-308.552032470703
529166.67,-312.418182373047
529250.00,-311.773834228516
529333.33,-311.773834228516
529416.67,-311.773834228516
529500.00,-314.351287841797
529583.33,-313.062561035156
529666.67,-312.418182373047
529750.00,-312.418182373047
529833.33,-312.418182373047
529916.67,-313.062561035156
530000.00,-316.9287109375
530083.33,-313.706909179688
530166.67,-314.351287841797
530250.00,-315.639984130859
530333.33,-314.351287841797
530416.67,-315.639984130859
530500.00,-316.284362792969
530583.33,-315.639984130859
530666.67,-316.9287109375
530750.00,-317.573089599609
530833.33,-316.9287109375
530916.67,-318.217437744141
531000.00,-316.9287109375
531083.33,-320.794891357422
531166.67,-320.150512695313
531250.00,-320.150512695313
531333.33,-320.794891357422
531416.67,-319.506164550781
531500.00,-319.506164550781
531583.33,-319.506164550781
531666.67,-320.150512695313
531750.00,-320.794891357422
531833.33,-324.661041259766
531916.67,-321.439239501953
532000.00,-322.727966308594
532083.33,-322.083587646484
532166.67,-323.372314453125
532250.00,-322.083587646484
532333.33,-325.305389404297
532416.67,-327.882843017578
532500.00,-325.305389404297
532583.33,-324.661041259766
532666.67,-322.727966308594
532750.00,-323.372314453125
532833.33,-324.661041259766
532916.67,-324.016693115234
533000.00,-327.882843017578
533083.33,-324.661041259766
533166.67,-324.661041259766
533250.00,-325.949768066406
533333.33,-324.661041259766
