Time (seconds),V_ch1,V_ch2,V_ch3,I_ch1,I_ch2,I_ch3
0.462292,126.391334533691,0,0,0,0,0
0.462500,121.880813598633,0,0,0,0,0
0.462708,119.947731018066,0,0,0,0,0
0.462917,115.437210083008,0,0,0,0,0
0.463125,110.926681518555,0,0,0,0,0
0.463333,105.771797180176,0,0,0,0,0
0.463542,101.261276245117,0,0,0,0,0
0.463750,95.462028503418,0,0,0,0,0
0.463958,93.5289459228516,0,0,0,0,0
0.464167,87.7297058105469,0,0,0,0,0
0.464375,84.5079040527344,0,0,0,0,0
0.464583,79.9973754882813,0,0,0,0,0
0.464792,74.1981353759766,0,0,0,0,0
0.465000,72.2650527954102,0,0,0,0,0
0.465208,67.754524230957,0,0,0,0,0
0.465417,62.5996437072754,0,0,0,0,0
0.465625,56.8003959655762,0,0,0,0,0
0.465833,52.9342346191406,0,0,0,0,0
0.466042,47.7793502807617,0,0,0,0,0
0.466250,43.2688255310059,0,0,0,0,0
0.466458,40.0470237731934,0,0,0,0,0
0.466667,36.8252220153809,0,0,0,0,0
0.466875,31.6703357696533,0,0,0,0,0
0.467083,27.8041725158691,0,0,0,0,0
0.467292,24.5823707580566,0,0,0,0,0
0.467500,16.8500442504883,0,0,0,0,0
0.467708,16.2056827545166,0,0,0,0,0
0.467917,11.6951599121094,0,0,0,0,0
0.468125,7.82899618148804,0,0,0,0,0
0.468333,2.02975153923035,0,0,0,0,0
0.468542,0.741030335426331,0,0,0,0,0
0.468750,-3.12513279914856,0,0,0,0,0
0.468958,-6.99129629135132,0,0,0,0,0
0.469167,-13.4349012374878,0,0,0,0,0
0.469375,-17.3010654449463,0,0,0,0,0
0.469583,-21.1672286987305,0,0,0,0,0
0.469792,-24.389030456543,0,0,0,0,0
0.470000,-27.6108341217041,0,0,0,0,0
0.470208,-30.8326358795166,0,0,0,0,0
0.470417,-34.0544395446777,0,0,0,0,0
0.470625,-40.4980430603027,0,0,0,0,0
0.470833,-43.7198486328125,0,0,0,0,0
0.471042,-47.586009979248,0,0,0,0,0
0.471250,-52.740894317627,0,0,0,0,0
0.471458,-55.9626960754395,0,0,0,0,0
0.471667,-63.0506629943848,0,0,0,0,0
0.471875,-64.9837417602539,0,0,0,0,0
0.472083,-69.494270324707,0,0,0,0,0
0.472292,-72.0717086791992,0,0,0,0,0
0.472500,-77.8709564208984,0,0,0,0,0
0.472708,-80.4483947753906,0,0,0,0,0
0.472917,-85.6032791137695,0,0,0,0,0
0.473125,-89.4694442749023,0,0,0,0,0
0.473333,-94.6243286132813,0,0,0,0,0
0.473542,-96.5574111938477,0,0,0,0,0
